FID;C_Nus;Coord_X;Coord_Y
495;N00575K;431059.674;4581985.797
496;N00576L;431040.081;4582005
497;N00577M;431000.797;4582045.851
498;N00578N;430967.018;4582079.917
499;N00580H;431136.776;4581993.381
500;N00581I;431169.292;4582011.592
501;N00583K;431172.438;4581951.996
502;N00584L;431168.51;4581936.687
503;N00585M;431008.957;4582112.18
504;N00586N;431040.409;4582070.851
505;N00587O;431018.107;4582028.18
506;N00588P;431039.422;4582053.771
507;N00589Q;430715.531;4582043.918
508;N00590J;430766.011;4582104.554
509;N00591K;430794.719;4582149.144
510;N00592L;430897.899;4582001.414
511;N00593M;430869.972;4581990.868
512;N00594N;430803.9;4581952.689
513;N00595O;430938.114;4582018.449
514;N00596P;430978.733;4582036.625
515;N00597Q;430917.361;4581908.404
516;N00599S;430965.167;4581926.253
517;N00600U;430985.923;4581980.85
518;N00601V;430993.716;4581939.175
519;N00602W;431027.974;4581881.177
520;N00603X;431073.665;4581922.312
521;N00604Y;431049.84;4581863.647
522;N00605Z;431079.707;4581899.913
523;N00607B;431090.218;4581859.428
524;N00608C;431015.072;4581812.795
525;N00609D;431067.131;4581849.115
526;N00610W;430993.056;4581835.008
527;N00611X;430978.73;4581860.447
528;N00612Y;430966.015;4581885.209
529;N00613Z;431012.745;4581891.802
530;N00616C;430922.725;4581825.011
531;N00618E;430874.297;4581882.84
532;N00619F;430947.159;4581780.125
533;N00620Y;430911.776;4581842.124
534;N00621Z;430659.11;4581783.513
535;N00622A;430752.586;4581793.103
536;N00624C;430800.815;4581800.31
537;N00625D;430840.534;4581809.723
538;N00626E;430851.728;4581813.715
539;N00627F;430736.651;4581870.931
540;N00628G;430751.428;4581887.786
541;N00629H;430750.599;4581848.592
542;N00630A;430833.818;4581848.754
543;N00631B;430814.563;4581744.967
544;N00632C;430862.027;4581770.248
545;N00633D;430779.189;4581724.564
546;N00634E;430906.356;4581693.073
547;N00635F;430819.935;4581650.051
548;N00636G;430788.191;4581704.676
549;N00637H;430828.953;4581681.622
550;N00638I;430943.522;4581721.015
551;N00639J;431019.644;4581750.732
552;N00640C;430692.232;4581892.73
553;N00641D;431218.34;4581766.932
554;N00642E;431149.022;4581792.15
555;N00643F;431130.367;4581759.887
556;N00644G;431107.567;4581735.25
557;N00645H;431206.711;4581690.828
558;N00646I;431178.632;4581716.185
559;N00647J;431167.972;4581726.45
560;N00648K;431256.677;4581732.673
561;N00649L;431291.8;4581698.458
562;N00650E;431264.747;4581672.813
563;N00651F;431249.216;4581688.803
564;N00652G;431226.124;4581711.069
565;N00653H;431214.81;4581700.423
566;N00654I;431231.233;4581670.384
567;N00655J;431241.451;4581681.112
568;N00656K;431248.095;4581656.417
569;N00657L;431308.127;4581681.158
570;N00658M;431282.872;4581653.722
571;N00659N;431267.265;4581637.245
572;N00660G;431356;4581636.641
573;N00661H;431069.483;4581700.09
574;N00662I;431120.326;4581650.134
575;N00663J;431175.562;4581668.381
576;N00665L;431103.022;4581666.513
577;N00666M;431085.49;4581683.33
578;N00667N;431044.633;4581725.589
579;N00668O;431026.905;4581658.491
580;N00669P;431023.891;4581732.286
581;N00671J;430948.793;4581712.344
582;N00672K;430744.694;4581607.441
583;N00673L;430765.11;4581618.924
584;N00674M;430804.856;4581640.479
585;N00675N;430891.471;4581685.742
586;N00676O;430927.187;4581702.501
587;N00677P;430254.023;4581924.541
588;N00679R;430241.224;4581838.053
589;N00680K;430651.905;4581795.237
590;N00681L;430560.883;4581800.463
591;N00682M;430441.365;4581812.948
592;N00683N;430319.947;4581825.968
593;N00684O;430280.198;4581831.668
594;N00685P;430207.308;4581843.531
595;N00686Q;430159.725;4581851.094
596;N00687R;430086.467;4581742.382
597;N00688S;430163.32;4581768.359
598;N00689T;430198.994;4581787.832
599;N00690M;430227.671;4581808.333
600;N00691N;430202.444;4581811.097
601;N00692O;430230.319;4581822.184
602;N00693P;430204.638;4581826.308
603;N00694Q;430142.477;4581693.025
604;N00695R;430147.961;4581698.096
605;N00696S;430196.861;4581667.31
606;N00697T;430178.31;4581647.752
607;N00698U;430289.061;4581774.192
608;N00699V;430392.602;4581633.276
609;N00700X;430704.395;4581686.153
610;N00701Y;430592.229;4581733.357
611;N00702Z;430544.662;4581695.561
612;N00705C;430531.084;4581708.184
613;N00706D;430488.759;4581748.829
614;N00707E;430556.507;4581727.917
615;N00708F;430402.92;4580716.605
616;N00709G;430474.898;4580816.716
617;N00710Z;430486.694;4580829.252
618;N00711A;430518.891;4580874.169
619;N00712B;430537.014;4580888.979
620;N00713C;430589.431;4580947.049
621;N00717G;430688.031;4581074.44
622;N00718H;430705.924;4581095.205
623;N00719I;430726.261;4581119.835
624;N00720B;430772.52;4581172.977
625;N00721C;430784.679;4581190.316
626;N00722D;430816.413;4581240.004
627;N00723E;430829.035;4581264.004
628;N00724F;430875.228;4581395.545
629;N00725G;430737.758;4581037.206
630;N00727I;430939.585;4581293.196
631;N00728J;430870.576;4581206.91
632;N00729K;430833.529;4581158.35
633;N00730D;430904.362;4581186.327
634;N00731E;430665.451;4581335.711
635;N00732F;430651.93;4581244.982
636;N00733G;430574.497;4581200.191
637;N00737K;430641.461;4581125.339
638;N00738L;430701.325;4581161.697
639;N00745K;430478.025;4581053.535
640;N00747M;430496.732;4581034.995
641;N00749O;430988.451;4581214.671
642;N00750H;430914.174;4581120.716
643;N00751I;430874.957;4581071.715
644;N00752J;430837.055;4581025.023
645;N00753K;430805.191;4580985.37
646;N00754L;430766.197;4580935.977
647;N00755M;431055.778;4581118.624
648;N00756N;431015.171;4581065.032
649;N00757O;430972.062;4580995
650;N00758P;430944.568;4580961.198
651;N00759Q;430928.438;4580944.773
652;N00760J;430889.648;4580894.486
653;N00761K;431105.203;4581014.297
654;N00762L;431009.273;4580956.939
655;N00763M;431018.722;4580947.469
656;N00764N;431005.091;4580903.879
657;N00765O;430994.453;4580865.938
658;N00766P;431075.522;4580891.735
659;N00767Q;430535.338;4580997.747
660;N00768R;430458.589;4580925.713
661;N00769S;430358.727;4581168.088
662;N00770L;430274.374;4581082.193
663;N00772N;430448.809;4581080.829
664;N00773O;430369.825;4581000.106
665;N00774P;430333.122;4580955.295
666;N00775Q;430267.627;4580877.702
667;N00776R;430446.704;4580935.26
668;N00777S;430416.83;4580887.365
669;N00779U;430415.015;4581110.648
670;N00780N;430331.764;4581032.368
671;N00782P;430233.679;4581117.114
672;N00783Q;430480.077;4580908.153
673;N00784R;430198.19;4581066.762
674;N00785S;430380.146;4580917.137
675;N00786T;430306.694;4580838.232
676;N00787U;430328.321;4580818.14
677;N00788V;430332.114;4581200.718
678;N00789W;430353.86;4581225.603
679;N00790P;430248.5;4581133.784
680;N00791Q;430221.128;4581099.223
681;N00792R;430189.393;4581055.944
682;N00793S;430147.098;4581004.923
683;N00794T;430119.917;4581170.494
684;N00795U;430184.541;4581192.265
685;N00796V;430255.718;4581219.153
686;N00798X;431184.221;4580839.92
687;N00799Y;431047.404;4580851.944
688;N00800A;430938.79;4580881.085
689;N00801B;431127.758;4580972.683
690;N00802C;431012.449;4580796.812
691;N00803D;430987.344;4580777.781
692;N00804E;430897.891;4580715.321
693;N00805F;430668.794;4580879.032
694;N00807H;430699.364;4580852.163
695;N00808I;430661.211;4580803.649
696;N00809J;430592.735;4580715.706
697;N00810C;430789.923;4580821.409
698;N00811D;430856.978;4580799.789
699;N00812E;430767.787;4580756.683
700;N00813F;430835.158;4580737.854
701;N00814G;430747.388;4580700.628
702;N00815H;430868.112;4580834.353
703;N00816I;430841.445;4580756.294
704;N00817J;430819.209;4580694.845
705;N00818K;430907.698;4580752.09
706;N00819L;430924.5;4580819.202
707;N00820E;430917.122;4580789.07
708;N00821F;430157.054;4581182.005
709;N00822G;430083.916;4581157.581
710;N00823H;430075.7;4581238.654
711;N00824I;430069.642;4581299.559
712;N00825J;430068.672;4581318.325
713;N00826K;430113.205;4581259.02
714;N00827L;430087.701;4581301.074
715;N00828M;430077.492;4581318.883
716;N00829N;430214.089;4581205.736
717;N00830G;430145.229;4581323.509
718;N00831H;430280.146;4581242.006
719;N00832I;430226.57;4581327.838
720;N00833J;430321.691;4581276.267
721;N00834K;430388.171;4581339.43
722;N00836M;430610.329;4581314.057
723;N00837N;430571.969;4581301.428
724;N00838O;430523.791;4581282.762
725;N00839P;430499.95;4581272.919
726;N00840I;430486.747;4581356.221
727;N00841J;430452.393;4581400.81
728;N00842K;430454.702;4581334.894
729;N00843L;430438.518;4581323.489
730;N00844M;430424.418;4581375.319
731;N00847P;430479.852;4581422.352
732;N00848Q;430863.535;4581414.856
733;N00849R;430766.018;4581370.648
734;N00850K;430736.451;4581429.587
735;N00851L;430834.982;4581459.689
736;N00852M;430779.945;4581426.356
737;N00853N;430802.858;4581382.71
738;N00854O;430777.255;4581431.262
739;N00855P;430745.94;4581365.194
740;N00856Q;430713.808;4581415.245
741;N00857R;430770.974;4581346.699
742;N00858S;430723.714;4581355.576
743;N00859T;430757.095;4581368.331
744;N00860M;430680.287;4581342.568
745;N00861N;430659.256;4581382.595
746;N00862O;430615.325;4581448.3
747;N00863P;430667.439;4581363.152
748;N00864Q;430725.292;4581448.167
749;N00865R;430699.562;4581431.713
750;N00866S;430740.375;4581421.945
751;N00868U;430666.46;4581472.057
752;N00869V;430706.202;4581525.694
753;N00870O;430681.555;4581565.334
754;N00871P;430651.345;4581490.962
755;N00872Q;430772.747;4581487.17
756;N00873R;430804.744;4581506.627
757;N00874S;431020.163;4581261.04
758;N00876U;431010.192;4581310.066
759;N00877V;431029.05;4581327.908
760;N00878W;431043.279;4581314.47
761;N00879X;431084.915;4581269.334
762;N00881R;431055.295;4581226.804
763;N00882S;431022.336;4581335.478
764;N00883T;430982.903;4581223.026
765;N00884U;431101.89;4581188.598
766;N00885V;431091.473;4581262.705
767;N00886W;431132.763;4581231.293
768;N00887X;431000.757;4581361.6
